pathway,rel_type,subtype,edge_sign,gene1,lfc1,p1,fdr1,gene2,lfc2,p2,fdr2,coherent,both_FDR,in_intersect,in_pheno,worst_p,anchor_gene
hsa04211,PPrel,activation,1,SIRT1,-0.389065828328134,0.0044363570263749,0.0855266768434143,PPARGC1A,-0.612471761557638,0.000603487342297342,0.0535181515702502,TRUE,FALSE,1,2,0.0044363570263749,PPARGC1A
hsa04211,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,FALSE,FALSE,1,2,0.00604856153799963,IRS2
hsa04211,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,TRUE,FALSE,1,2,0.025007761246042,IRS2
hsa04211,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,FALSE,FALSE,1,2,0.0479971366369964,IRS2
hsa04213,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,FALSE,FALSE,1,2,0.00604856153799963,IRS2
hsa04213,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,TRUE,FALSE,1,2,0.025007761246042,IRS2
hsa04213,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,FALSE,FALSE,1,2,0.0479971366369964,IRS2
hsa04371,GErel,expression,1,PRKAA2,0.2883315494399,0.0174833628632484,0.124528023712669,PLIN1,0.526689591687546,0.00617901329380455,0.0924192126902241,TRUE,FALSE,1,2,0.0174833628632484,PLIN1
hsa04371,GErel,expression;indirect effect,1,PRKAA2,0.2883315494399,0.0174833628632484,0.124528023712669,PPARGC1A,-0.612471761557638,0.000603487342297342,0.0535181515702502,FALSE,FALSE,1,2,0.0174833628632484,PPARGC1A
hsa04371,GErel,expression,1,PPARGC1A,-0.612471761557638,0.000603487342297342,0.0535181515702502,TFAM,0.204684764227013,0.0450726277413552,0.183603096059716,FALSE,FALSE,1,1,0.0450726277413552,PPARGC1A
hsa04510,PPrel,activation,1,IGF1,-0.750196331507432,0.0163841211440685,0.121600797588543,MET,-0.594530156292599,0.000535321938461894,0.0532228199633379,TRUE,FALSE,1,1,0.0163841211440685,IGF1
hsa04510,PPrel,activation,1,IGF1,-0.750196331507432,0.0163841211440685,0.121600797588543,FLT1,-0.265225153566922,0.0320892189706352,0.159778739962476,TRUE,FALSE,1,1,0.0320892189706352,IGF1
hsa04518,PPrel,activation,1,IGF1,-0.750196331507432,0.0163841211440685,0.121600797588543,MET,-0.594530156292599,0.000535321938461894,0.0532228199633379,TRUE,FALSE,1,1,0.0163841211440685,IGF1
hsa04518,PPrel,activation,1,IGF1,-0.750196331507432,0.0163841211440685,0.121600797588543,FLT1,-0.265225153566922,0.0320892189706352,0.159778739962476,TRUE,FALSE,1,1,0.0320892189706352,IGF1
hsa04714,PPrel,activation;phosphorylation,1,MAPK13,-0.192163523711123,0.00400805854631353,0.0825894611298892,PPARGC1A,-0.612471761557638,0.000603487342297342,0.0535181515702502,TRUE,FALSE,1,2,0.00400805854631353,PPARGC1A
hsa04714,GErel,expression,1,ATF2,-0.397622017656181,0.00827776949329714,0.0997947821115051,PPARGC1A,-0.612471761557638,0.000603487342297342,0.0535181515702502,TRUE,FALSE,1,1,0.00827776949329714,PPARGC1A
hsa04910,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,FALSE,FALSE,1,2,0.00604856153799963,IRS2
hsa04910,PPrel,inhibition;phosphorylation,-1,MAPK8,-0.219103231894202,0.0122692600501608,0.110731833004267,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,FALSE,FALSE,1,2,0.0122692600501608,IRS2
hsa04910,PPrel,inhibition;dephosphorylation,-1,PTPRF,0.221534492129057,0.0207155620838631,0.132343523504743,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,TRUE,FALSE,1,2,0.0207155620838631,IRS2
hsa04910,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,TRUE,FALSE,1,2,0.025007761246042,IRS2
hsa04910,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,FALSE,FALSE,1,2,0.0479971366369964,IRS2
hsa04920,PPrel,inhibition;phosphorylation,-1,IKBKG,0.331088914750224,0.000167254679098857,0.0422769009190092,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,TRUE,FALSE,1,1,0.00290962468594569,IRS2
hsa04920,GErel,repression,-1,STAT3,0.388066346775698,0.004956499558627,0.0869703643891037,PPARGC1A,-0.612471761557638,0.000603487342297342,0.0535181515702502,TRUE,FALSE,1,2,0.004956499558627,PPARGC1A
hsa04920,PPrel,inhibition;phosphorylation,-1,MAPK8,-0.219103231894202,0.0122692600501608,0.110731833004267,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,FALSE,FALSE,1,2,0.0122692600501608,IRS2
hsa04920,PPrel,inhibition,-1,SOCS3,0.152168931590356,0.037549247403871,0.170646269275577,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,TRUE,FALSE,1,2,0.037549247403871,IRS2
hsa04923,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,FALSE,FALSE,1,2,0.00604856153799963,IRS2
hsa04923,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,TRUE,FALSE,1,2,0.025007761246042,IRS2
hsa04923,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,FALSE,FALSE,1,2,0.0479971366369964,IRS2
hsa04931,PPrel,activation;indirect effect,1,CREB3,0.303800603180914,0.00138677189848469,0.0658826713042013,PPARGC1A,-0.612471761557638,0.000603487342297342,0.0535181515702502,FALSE,FALSE,1,2,0.00138677189848469,PPARGC1A
hsa04931,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,FALSE,FALSE,1,2,0.00604856153799963,IRS2
hsa04931,PPrel,inhibition;phosphorylation,-1,MAPK8,-0.219103231894202,0.0122692600501608,0.110731833004267,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,FALSE,FALSE,1,2,0.0122692600501608,IRS2
hsa04931,PPrel,activation,1,PPARGC1A,-0.612471761557638,0.000603487342297342,0.0535181515702502,OGT,-0.278198798632401,0.0179342109197497,0.125560452123534,TRUE,FALSE,1,2,0.0179342109197497,PPARGC1A
hsa04931,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,TRUE,FALSE,1,2,0.025007761246042,IRS2
hsa04931,PPrel,inhibition;indirect effect,-1,SREBF1,0.435480157850608,0.0261960327030443,0.14479173754425,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,TRUE,FALSE,1,2,0.0261960327030443,IRS2
hsa04931,PPrel,inhibition,-1,SOCS3,0.152168931590356,0.037549247403871,0.170646269275577,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,TRUE,FALSE,1,2,0.037549247403871,IRS2
hsa04931,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,FALSE,FALSE,1,2,0.0479971366369964,IRS2
hsa04935,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,FALSE,FALSE,1,2,0.00604856153799963,IRS2
hsa04935,GErel,expression,1,STAT3,0.388066346775698,0.004956499558627,0.0869703643891037,IGF1,-0.750196331507432,0.0163841211440685,0.121600797588543,FALSE,FALSE,1,2,0.0163841211440685,IGF1
hsa04935,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,TRUE,FALSE,1,2,0.025007761246042,IRS2
hsa04935,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,FALSE,FALSE,1,2,0.0479971366369964,IRS2
hsa04936,GErel,expression,1,TCF7L1,-0.258908410607808,0.00664517581284024,0.0954881069719081,CCND1,0.8031084765255,0.00074921048132828,0.0578425746384107,FALSE,FALSE,1,1,0.00664517581284024,CCND1
hsa04936,PPrel,activation;phosphorylation,1,PRKAA2,0.2883315494399,0.0174833628632484,0.124528023712669,PPARGC1A,-0.612471761557638,0.000603487342297342,0.0535181515702502,FALSE,FALSE,1,2,0.0174833628632484,PPARGC1A
